CountryName,CountryCode,Series Name,Series Code,Y2010,Y2011,Y2012,Y2013,Y2014
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1585472534,1820207626,1823692110,1781261413,1821412873
Timor-Leste,TMP,GDP (current US$),NY.GDP.MKTP.CD,934000000,1123000000,1270000000,1468000000,1552000000
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1986014846,2195599557,2169706564,1544626422,1782927903
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.20E+11,3.41E+11,3.22E+11,3.36E+11,3.42E+11
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1.36E+11,1.63E+11,1.76E+11,1.83E+11,1.32E+11
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,39332770929,45324319955,51183443225,56795656325,62643953022
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,18803852466,18661302215,23724745221,24703249696,26312399301
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,40284481652,47962439304,51383858670,57524653094,57471277325
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10657705072,12156380062,12368070169,12949853281,13922224561
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,9260284938,10142111334,9957890702,10431217084,10881605059
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,2.33E+11,2.58E+11,2.57E+11,2.91E+11,3.04E+11
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1.39E+11,1.86E+11,2.18E+11,2.32E+11,2.21E+11
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1397113450,1487005600,1573867300,1624294250,0
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1664310632,1864823991,1751887838,1837909383,1871187334
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.52E+12,1.90E+12,2.02E+12,2.08E+12,1.86E+12
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,48669060512,55765057234,52591569645,54479873100,55734676435
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,59665514733,62236755927,56485308446,57868674298,57222574023
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,13261004010,14688160822,14232533848,15394553338,17071004499
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,4735956493,5067360009,5667229759,6231725485,6624068016
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,847491366.9,1103652041,958857944.2,946629755.8,1022371992
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,5082338965,5739705822,5487773452,0,0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,74773444901,34699395524,81905365776,65509594212,41119144923
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1292697080,1545400000,1735500000,1946500000,2027000000
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.61E+12,1.79E+12,1.83E+12,1.84E+12,1.79E+12
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,32174772956,39566292433,41939728979,48584737987,38648154100
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14476054183,17830879880,17685007055,17205083304,17228443336
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.30E+11,1.39E+11,1.27E+11,1.33E+11,1.37E+11
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,15727809707,17826873819,10368977864,11804446136,13069991258
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,3.75E+11,4.17E+11,3.97E+11,3.66E+11,3.50E+11
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,12786670175,15682932628,14792390177,14979306814,15813371063
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1.25E+11,1.70E+11,1.90E+11,2.03E+11,2.12E+11
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,5698548988,6406727230,7219657132,7522006198,7890190337
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,52146754967,58952460384,56292381076,60130847624,0
India,IND,GDP (current US$),NY.GDP.MKTP.CD,1.71E+12,1.84E+12,1.83E+12,1.86E+12,2.07E+12
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,7.55E+11,8.93E+11,9.18E+11,9.10E+11,8.89E+11
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,41337958252,47654841113,50388460925,53851153447,58728232327
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,69555367000,79276664000,87623411000,94472680000,1.01E+11
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,2117039511,2607739837,3091967480,3444097561,3857821138
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,64328200000,68990140000,73139050000,77149700000,0
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,4794357795,6197766119,6605139933,7335027592,7404412710
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1128611700,1239144502,1353632942,1456344495,1581519706
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.48E+11,1.88E+11,2.04E+11,2.32E+11,2.12E+11
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,2.87E+11,3.35E+11,3.70E+11,3.80E+11,3.78E+11
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,36298327620,41237293551,45300669857,49236710394,49552580683
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,23622483984,26587311528,26472056038,29567504655,32548591286
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,31824701.28,39313508.69,39875708.12,38322359.53,0
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,22148070175,29233333333,35164210526,41012982456,47931929825
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,7.31E+11,7.75E+11,7.89E+11,8.23E+11,8.00E+11
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1244297407,1289531852,1302666704,1335764111,1365426556
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,692457407.4,728050629.6,731919888.9,774074074.1,833333333.3
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,201037916.6,248286778.2,263328450.3,310684591.5,334902362.1
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,681370666.7,677039407.4,694445888.9,718879481.5,728696703.7
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,2259288396,2576602497,2851154076,2990006534,3228372888
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,31105430200,33561501962,38808657767,44333456245,49183884817
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,29933790334,31952763089,43310721414,47524728957,54797679658
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,150436703.5,172260277.6,174984282.2,168944505.2,166762323.6
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,5642221529,6522755783,7633036366,8506615265,9241627841
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,12932428288,14440676929,14045681414,14791699009,15578916865
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,39460357731,46466728667,40742313861,45519650911,43866423167
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2578026297,2932106327,3789119779,4928272986,4892363979
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25247424011,27089174646,24940600822,24057251749,23226158986
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,969973778,1065816209,1134236960,1411033801,1405764158
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1.05E+12,1.17E+12,1.19E+12,1.26E+12,1.28E+12
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,3172945506,3756023048,3915776184,4338575495,4518443907
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,492962963,508518518.5,514814814.8,516666666.7,537777777.8
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,53042973603,58026114991,60441438857,61198258779,63968961563
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,3.90E+11,4.29E+11,4.08E+11,4.28E+11,4.36E+11
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.74E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,82470894869,1.04E+11,1.15E+11,1.24E+11,1.31E+11
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1135539037,1129918370,1204713111,1200587519,1269117037
Andorra,ADO,GDP (current US$),NY.GDP.MKTP.CD,3346317329,3427235709,3146177741,3249100675,0
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,8741313143,9755619761,10460339389,10850733052,11805641287
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,3.69E+11,4.12E+11,4.61E+11,5.15E+11,5.69E+11
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,5718589799,6409169890,6942209595,7683045043,8168695870
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,16002656434,18913574371,18851513891,19244245405,19636186469
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1.77E+11,2.14E+11,2.25E+11,2.32E+11,2.47E+11
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4445500000,4358000000,4313000000,4281000000,4348000000
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,9716124252,12873212504,15391272798,15413163675,0
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,20047518281,25099681461,24595319574,28896660618,30984747863
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,28814100000,33270500000,37956200000,42648100000,46212600000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,25713271277,29044069149,30756462766,32897606383,33868989362
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.21E+12,2.62E+12,2.41E+12,2.39E+12,2.35E+12
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,8979966766,10724061339,11166061508,12126322793,12542969275
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2026864414,2355652064,2472384864,2714505576,3093647293
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,3.00E+11,2.89E+11,2.50E+11,2.42E+11,2.38E+11
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,184324923.8,201223885.2,215815865.6,228567644.1,250625562.8
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,0,0,0,0,0
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.41E+12,3.75E+12,3.53E+12,3.73E+12,3.85E+12
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2.13E+12,2.28E+12,2.08E+12,2.14E+12,2.14E+12
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,671585231.6,886503123.8,1025124684,1059690062,1158183054
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,23868572609,28319399054,28545148936,30908761928,31920815648
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,4.29E+11,4.98E+11,5.10E+11,5.22E+11,5.00E+11
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.07E+11,2.27E+11,2.07E+11,2.09E+11,2.06E+11
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,5811604052,7015206498,7284686576,7985349731,7944184930
